threshold,precision,recall,f1
0.1,0.5677890345649583,0.9794397327165253,0.7188531547675187
0.15,0.5748693478754828,0.9753276792598303,0.72337383845604
0.2,0.6227249532233373,0.9408892315600103,0.7494370522006141
0.25,0.6838013798464678,0.904266255461321,0.7787307032590052
0.3,0.6952806756085445,0.899254690310974,0.7842214377766571
0.35,0.6964232340340739,0.8982266769468004,0.7845558112127504
0.4,0.6971360143698234,0.8977126702647135,0.7848115486154019
0.45,0.6974236069502696,0.89745566692367,0.784895482130816
0.5,0.6976,0.8964276535594963,0.7846136542571139
0.55,0.6973499297329854,0.8927011051143665,0.7830252479711451
0.6,0.6982732195769898,0.8781804163454124,0.7779611816267289
0.65,0.6994830298943583,0.7997943973271653,0.7462829736211031
0.7,0.7046884513902983,0.44615780005140065,0.5463844519631758
0.75,0.7141176470588235,0.07800051400668209,0.1406394810009268
0.8,0.7424242424242424,0.012593163711128244,0.02476623704826889
0.85,0.782608695652174,0.002313030069390902,0.004612427930813581
0.9,0.0,0.0,0.0
